FPC Code,Mfg,Frame Name Cat,Color,Material,Mkd A,Mkd DBL,Tpl,,,,,,,,,,,,,,,
409717001551,PERC,MCGEE TABITHA,LOLA,METAL,50,16,135,,,,,,,,,,,,,,,
409717001568,PERC,MCGEE VERA BRADLEY TAMMIE,OLIVIA PINK,PLASTIC,52,16,130,,,,,,,,,,,,,,,
409717000820,PERC,L'AMY AMERCIA TANNER CREEK,PEWTER/BLACK,OTHER,52,17,140,,,,,,,,,,,,,,,
409717000196,PERC,REM EYEWEAR V111,DARK GUNMETAL,METAL,46,20,135,,,,,,,,,,,,,,,
409717000202,PERC,REM EYEWEAR V111,SHINY SILVER,METAL,46,20,135,,,,,,,,,,,,,,,
409717000240,PERC,REM EYEWEAR V132,TORTOISE,METAL,51,20,140,,,,,,,,,,,,,,,
409717000233,PERC,REM EYEWEAR V132,BLACK,METAL,51,20,140,,,,,,,,,,,,,,,
409717000257,PERC,REM EYEWEAR V133,BLACK,METAL,55,18,140,,,,,,,,,,,,,,,
409717000264,PERC,REM EYEWEAR V133,BROWN,METAL,55,18,140,,,,,,,,,,,,,,,
409717000356,PERC,REM EYEWEAR V145,BLACK TORT,METAL,53,20,145,,,,,,,,,,,,,,,
409717000363,PERC,REM EYEWEAR V145,TORTOISE,METAL,53,20,145,,,,,,,,,,,,,,,
409717000462,PERC,REM EYEWEAR V147,BRUSHED BROWN,METAL,52,19,140,,,,,,,,,,,,,,,
409717000455,PERC,REM EYEWEAR V147,BLACK,METAL,52,19,140,,,,,,,,,,,,,,,
409717000417,PERC,REM EYEWEAR V148,ANTIQUE PEWTER,METAL,56,16,145,,,,,,,,,,,,,,,
409717000424,PERC,REM EYEWEAR V148,MATTE BLACK,METAL,56,16,145,,,,,,,,,,,,,,,
409717001230,PERC,MCGEE VERA BRADLEY VB 3030,CAMELLIA,METAL,51,18,135,,,,,,,,,,,,,,,
409717000837,PERC,L'AMY AMERCIA WILLAMETTE,BLACK/RED,PLASTIC,53,19,140,,,,,,,,,,,,,,,
409717000844,PERC,L'AMY AMERCIA WILLAMETTE,GREY HORN,PLASTIC,53,19,140,,,,,,,,,,,,,,,
409717001339,PERC,MCGEE ZOE,BLACK,METAL,53,17,130,,,,,,,,,,,,,,,
409717001346,PERC,MCGEE ZOE,BROWN,METAL,53,17,130,,,,,,,,,,,,,,,
409717002909,PERC,TURA 902115,BURGUNDY W/PINK,METAL,53,16,135,,,,,,,,,,,,,,,
409717002930,PERC,TURA 902116,BROWN W/GREEN,METAL,54,15,135,,,,,,,,,,,,,,,
409717002923,PERC,TURA 902116,BROWN W/CREAM,METAL,54,15,135,,,,,,,,,,,,,,,
409717002770,PERC,TURA 902117,BROWN,METAL,50,17,135,,,,,,,,,,,,,,,
409717002763,PERC,TURA 902117,GREY,METAL,50,17,135,,,,,,,,,,,,,,,
409717002800,PERC,TURA 902121,PURPLE,METAL,53,15,135,,,,,,,,,,,,,,,                      
409717002794,PERC,TURA 902121,GREY,METAL,53,15,135,,,,,,,,,,,,,,,
409717002817,PERC,TURA BRENDEL 902125,DARK PURPLE W/PINK,METAL,52,18,135,,,,,,,,,,,,,,,
409717003067,PERC,TURA 902132,BROWN,METAL,52,17,135,,,,,,,,,,,,,,,
409717003074,PERC,TURA 902132,BLUE,METAL,52,17,135,,,,,,,,,,,,,,,
409717003081,PERC,TURA 902133,GREY,METAL,53,16,135,,,,,,,,,,,,,,,
409717003098,PERC,TURA 902133,PURPLE,METAL,53,16,135,,,,,,,,,,,,,,,
409717003104,PERC,TURA 902134,GREEN,METAL,51,17,135,,,,,,,,,,,,,,,
409717003111,PERC,TURA 902134,BROWN,METAL,51,17,135,,,,,,,,,,,,,,,
409717003036,PERC,TURA 902136,BLUE,METAL,53,15,135,,,,,,,,,,,,,,,
409717003029,PERC,TURA 902136,BROWN,METAL,53,15,135,,,,,,,,,,,,,,,
409717003203,PERC,TURA 902137,BROWN W/GOLD,METAL,54,15,135,,,,,,,,,,,,,,,
409717003210,PERC,TURA 902137,BLACK W/SILVER,METAL,54,15,135,,,,,,,,,,,,,,,
409717002749,PERC,TURA 903013,BROWN,PLASTIC,53,15,135,,,,,,,,,,,,,,,
409717002756,PERC,TURA 903013,PURPLE,PLASTIC,53,15,135,,,,,,,,,,,,,,,
